Rk,Age▼,Date,Tm,at,Opp,outcome,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
0,30-121,2019-12-25,HOU,@,GSW,0,1,38,9,18,0.500,3,8,0.375,6,10,0.600,0,1,.000,1,5,6,11,3,0,2,3,24,24.3
1,30-119,2019-12-23,HOU,@,SAC,1,1,38,10,19,0.526,6,8,0.75,4,11,0.364,10,12,0.833,0,5,5,5,2,1,3,2,34,27.8
2,30-117,2019-12-21,HOU,@,PHO,1,1,34,15,27,0.556,6,8,0.75,9,19,0.474,8,9,0.889,1,5,6,7,0,1,4,5,47,35.5
3,30-115,2019-12-19,HOU,@,LAC,1,1,36,8,16,0.5,3,5,0.6,5,11,0.455,7,10,0.7,0,1,1,10,2,1,6,4,28,21.2
4,30-112,2019-12-16,HOU,,SAS,1,1,36,10,29,0.345,6,16,0.375,4,13,0.308,4,4,1.0,3,5,8,7,1,1,2,3,28,18.7
5,30-110,2019-12-14,HOU,,DET,0,1,38,14,33,0.424,10,20,0.5,4,13,0.308,7,8,0.875,2,4,6,7,1,0,4,4,39,24
6,30-109,2019-12-13,HOU,@,ORL,1,1,36,19,31,0.613,9,16,0.563,10,15,0.667,6,6,1.0,2,3,5,7,2,3,3,5,54,46.2
7,30-107,2019-12-11,HOU,@,CLE,1,1,41,20,34,0.588,10,16,0.625,10,18,0.556,5,5,1.0,0,3,3,8,2,2,6,3,55,41.9
8,30-105,2019-12-09,HOU,,SAC,0,1,40,8,19,0.421,5,9,0.556,3,10,0.3,8,8,1.0,0,4,4,10,2,1,8,4,27,18.2
9,30-103,2019-12-07,HOU,,PHO,1,1,39,8,27,0.296,5,10,0.5,3,17,0.176,15,18,0.833,2,4,6,4,3,1,0,3,34,25
10,30-101,2019-12-05,HOU,@,TOR,1,1,40,7,11,0.636,4,6,0.667,3,5,0.6,6,6,1.0,0,7,7,3,5,1,4,5,23,22
11,30-099,2019-12-03,HOU,@,SAS,0,1,49,11,37,0.297,7,17,0.412,4,20,0.2,24,24,1.0,3,6,9,6,4,0,5,4,50,34
12,30-096,2019-11-30,HOU,,ATL,1,1,31,16,24,0.667,8,10,0.8,8,14,0.571,20,23,0.87,0,3,3,8,3,1,5,3,60,52.4
13,30-093,2019-11-27,HOU,,MIA,1,1,35,9,23,0.391,2,6,0.333,7,17,0.412,9,10,0.9,2,4,6,5,1,1,2,0,34,26.9
14,30-090,2019-11-24,HOU,,DAL,0,1,41,11,24,0.458,9,9,1,2,15,0.133,8,10,0.8,1,8,9,11,1,0,6,5,32,22.6
15,30-088,2019-11-22,HOU,@,LAC,0,1,42,9,16,0.563,4,5,0.8,5,11,0.455,14,18,0.778,0,8,8,12,2,0,4,4,37,35
